Image,Voltage,Strategy,Off_Coeff,Fac_Coeff,Power_Saving(%),Distortion(%)
Image_0,15.0,none,0.0,0.0,0.0,0.0
Image_0,15.0,brightness,0.1,0.3,0.05,0.0421
Image_0,15.0,brightness,0.1,0.5,0.05,0.0421
Image_0,15.0,brightness,0.1,0.7,0.05,0.0421
Image_0,15.0,brightness,0.2,0.3,0.05,0.0421
Image_0,15.0,brightness,0.2,0.5,0.05,0.0421
Image_0,15.0,brightness,0.2,0.7,0.05,0.0421
Image_0,15.0,brightness,0.3,0.3,0.05,0.0421
Image_0,15.0,brightness,0.3,0.5,0.05,0.0421
Image_0,15.0,brightness,0.3,0.7,0.05,0.0421
Image_0,15.0,contrast,0.1,0.3,0.05,0.0421
Image_0,15.0,contrast,0.1,0.5,0.05,0.0421
Image_0,15.0,contrast,0.1,0.7,0.05,0.0421
Image_0,15.0,contrast,0.2,0.3,0.05,0.0421
Image_0,15.0,contrast,0.2,0.5,0.05,0.0421
Image_0,15.0,contrast,0.2,0.7,0.05,0.0421
Image_0,15.0,contrast,0.3,0.3,0.05,0.0421
Image_0,15.0,contrast,0.3,0.5,0.05,0.0421
Image_0,15.0,contrast,0.3,0.7,0.05,0.0421
Image_0,15.0,both,0.1,0.3,0.05,0.0421
Image_0,15.0,both,0.1,0.5,0.05,0.0421
Image_0,15.0,both,0.1,0.7,0.05,0.0421
Image_0,15.0,both,0.2,0.3,0.05,0.0421
Image_0,15.0,both,0.2,0.5,0.05,0.0421
Image_0,15.0,both,0.2,0.7,0.05,0.0421
Image_0,15.0,both,0.3,0.3,0.05,0.0421
Image_0,15.0,both,0.3,0.5,0.05,0.0421
Image_0,15.0,both,0.3,0.7,0.05,0.0421
Image_0,14.0,none,0.0,0.0,17.12,2.1636
Image_0,14.0,brightness,0.1,0.3,16.7,2.0752
Image_0,14.0,brightness,0.1,0.5,16.7,2.0752
Image_0,14.0,brightness,0.1,0.7,16.7,2.0752
Image_0,14.0,brightness,0.2,0.3,16.02,1.9244
Image_0,14.0,brightness,0.2,0.5,16.02,1.9244
Image_0,14.0,brightness,0.2,0.7,16.02,1.9244
Image_0,14.0,brightness,0.3,0.3,15.29,1.7766
Image_0,14.0,brightness,0.3,0.5,15.29,1.7766
Image_0,14.0,brightness,0.3,0.7,15.29,1.7766
Image_0,14.0,contrast,0.1,0.3,15.91,1.9105
Image_0,14.0,contrast,0.1,0.5,14.93,1.7092
Image_0,14.0,contrast,0.1,0.7,13.98,1.5092
Image_0,14.0,contrast,0.2,0.3,15.91,1.9105
Image_0,14.0,contrast,0.2,0.5,14.93,1.7092
Image_0,14.0,contrast,0.2,0.7,13.98,1.5092
Image_0,14.0,contrast,0.3,0.3,15.91,1.9105
Image_0,14.0,contrast,0.3,0.5,14.93,1.7092
Image_0,14.0,contrast,0.3,0.7,13.98,1.5092
Image_0,14.0,both,0.1,0.3,15.21,1.7649
Image_0,14.0,both,0.1,0.5,14.27,1.5667
Image_0,14.0,both,0.1,0.7,13.32,1.3713
Image_0,14.0,both,0.2,0.3,14.61,1.6331
Image_0,14.0,both,0.2,0.5,13.62,1.4291
Image_0,14.0,both,0.2,0.7,12.67,1.233
Image_0,14.0,both,0.3,0.3,13.9,1.4833
Image_0,14.0,both,0.3,0.5,12.97,1.2921
Image_0,14.0,both,0.3,0.7,12.03,1.0988
Image_0,13.0,none,0.0,0.0,32.74,4.3832
Image_0,13.0,brightness,0.1,0.3,31.87,4.1722
Image_0,13.0,brightness,0.1,0.5,31.87,4.1722
Image_0,13.0,brightness,0.1,0.7,31.87,4.1722
Image_0,13.0,brightness,0.2,0.3,30.88,3.94
Image_0,13.0,brightness,0.2,0.5,30.88,3.94
Image_0,13.0,brightness,0.2,0.7,30.88,3.94
Image_0,13.0,brightness,0.3,0.3,29.76,3.6769
Image_0,13.0,brightness,0.3,0.5,29.76,3.6769
Image_0,13.0,brightness,0.3,0.7,29.76,3.6769
Image_0,13.0,contrast,0.1,0.3,30.63,3.8939
Image_0,13.0,contrast,0.1,0.5,29.12,3.5459
Image_0,13.0,contrast,0.1,0.7,27.64,3.2082
Image_0,13.0,contrast,0.2,0.3,30.63,3.8939
Image_0,13.0,contrast,0.2,0.5,29.12,3.5459
Image_0,13.0,contrast,0.2,0.7,27.64,3.2082
Image_0,13.0,contrast,0.3,0.3,30.63,3.8939
Image_0,13.0,contrast,0.3,0.5,29.12,3.5459
Image_0,13.0,contrast,0.3,0.7,27.64,3.2082
Image_0,13.0,both,0.1,0.3,29.59,3.6498
Image_0,13.0,both,0.1,0.5,28.09,3.3043
Image_0,13.0,both,0.1,0.7,26.64,2.9724
Image_0,13.0,both,0.2,0.3,28.56,3.4054
Image_0,13.0,both,0.2,0.5,27.07,3.0644
Image_0,13.0,both,0.2,0.7,25.7,2.7516
Image_0,13.0,both,0.3,0.3,27.52,3.1606
Image_0,13.0,both,0.3,0.5,26.07,2.8308
Image_0,13.0,both,0.3,0.7,24.86,2.5535
Image_0,12.0,none,0.0,0.0,46.87,6.6719
Image_0,12.0,brightness,0.1,0.3,45.76,6.3776
Image_0,12.0,brightness,0.1,0.5,45.76,6.3776
Image_0,12.0,brightness,0.1,0.7,45.76,6.3776
Image_0,12.0,brightness,0.2,0.3,44.59,6.0655
Image_0,12.0,brightness,0.2,0.5,44.59,6.0655
Image_0,12.0,brightness,0.2,0.7,44.59,6.0655
Image_0,12.0,brightness,0.3,0.3,43.38,5.7448
Image_0,12.0,brightness,0.3,0.5,43.38,5.7448
Image_0,12.0,brightness,0.3,0.7,43.38,5.7448
Image_0,12.0,contrast,0.1,0.3,44.39,6.0307
Image_0,12.0,contrast,0.1,0.5,42.68,5.5896
Image_0,12.0,contrast,0.1,0.7,41.23,5.2189
Image_0,12.0,contrast,0.2,0.3,44.39,6.0307
Image_0,12.0,contrast,0.2,0.5,42.68,5.5896
Image_0,12.0,contrast,0.2,0.7,41.23,5.2189
Image_0,12.0,contrast,0.3,0.3,44.39,6.0307
Image_0,12.0,contrast,0.3,0.5,42.68,5.5896
Image_0,12.0,contrast,0.3,0.7,41.23,5.2189
Image_0,12.0,both,0.1,0.3,43.2,5.716
Image_0,12.0,both,0.1,0.5,41.58,5.3011
Image_0,12.0,both,0.1,0.7,40.38,4.9914
Image_0,12.0,both,0.2,0.3,42.04,5.4093
Image_0,12.0,both,0.2,0.5,40.63,5.048
Image_0,12.0,both,0.2,0.7,39.63,4.7893
Image_0,12.0,both,0.3,0.3,40.96,5.1263
Image_0,12.0,both,0.3,0.5,39.81,4.8301
Image_0,12.0,both,0.3,0.7,38.96,4.6084
Image_0,11.0,none,0.0,0.0,59.51,9.0478
Image_0,11.0,brightness,0.1,0.3,58.48,8.7336
Image_0,11.0,brightness,0.1,0.5,58.48,8.7336
Image_0,11.0,brightness,0.1,0.7,58.48,8.7336
Image_0,11.0,brightness,0.2,0.3,57.29,8.3774
Image_0,11.0,brightness,0.2,0.5,57.29,8.3774
Image_0,11.0,brightness,0.2,0.7,57.29,8.3774
Image_0,11.0,brightness,0.3,0.3,56.11,8.0265
Image_0,11.0,brightness,0.3,0.5,56.11,8.0265
Image_0,11.0,brightness,0.3,0.7,56.11,8.0265
Image_0,11.0,contrast,0.1,0.3,57.07,8.3306
Image_0,11.0,contrast,0.1,0.5,55.55,7.891
Image_0,11.0,contrast,0.1,0.7,54.53,7.5927
Image_0,11.0,contrast,0.2,0.3,57.07,8.3306
Image_0,11.0,contrast,0.2,0.5,55.55,7.891
Image_0,11.0,contrast,0.2,0.7,54.53,7.5927
Image_0,11.0,contrast,0.3,0.3,57.07,8.3306
Image_0,11.0,contrast,0.3,0.5,55.55,7.891
Image_0,11.0,contrast,0.3,0.7,54.53,7.5927
Image_0,11.0,both,0.1,0.3,55.95,7.9951
Image_0,11.0,both,0.1,0.5,54.71,7.6393
Image_0,11.0,both,0.1,0.7,53.88,7.3949
Image_0,11.0,both,0.2,0.3,54.96,7.7038
Image_0,11.0,both,0.2,0.5,54.0,7.424
Image_0,11.0,both,0.2,0.7,53.31,7.2201
Image_0,11.0,both,0.3,0.3,54.17,7.4646
Image_0,11.0,both,0.3,0.5,53.38,7.2348
Image_0,11.0,both,0.3,0.7,52.8,7.0644
Image_1,15.0,none,0.0,0.0,0.0,0.0
Image_1,15.0,brightness,0.1,0.3,0.1,0.0581
Image_1,15.0,brightness,0.1,0.5,0.1,0.0581
Image_1,15.0,brightness,0.1,0.7,0.1,0.0581
Image_1,15.0,brightness,0.2,0.3,0.1,0.0581
Image_1,15.0,brightness,0.2,0.5,0.1,0.0581
Image_1,15.0,brightness,0.2,0.7,0.1,0.0581
Image_1,15.0,brightness,0.3,0.3,0.1,0.0581
Image_1,15.0,brightness,0.3,0.5,0.1,0.0581
Image_1,15.0,brightness,0.3,0.7,0.1,0.0581
Image_1,15.0,contrast,0.1,0.3,0.1,0.0581
Image_1,15.0,contrast,0.1,0.5,0.1,0.0581
Image_1,15.0,contrast,0.1,0.7,0.1,0.0581
Image_1,15.0,contrast,0.2,0.3,0.1,0.0581
Image_1,15.0,contrast,0.2,0.5,0.1,0.0581
Image_1,15.0,contrast,0.2,0.7,0.1,0.0581
Image_1,15.0,contrast,0.3,0.3,0.1,0.0581
Image_1,15.0,contrast,0.3,0.5,0.1,0.0581
Image_1,15.0,contrast,0.3,0.7,0.1,0.0581
Image_1,15.0,both,0.1,0.3,0.1,0.0581
Image_1,15.0,both,0.1,0.5,0.1,0.0581
Image_1,15.0,both,0.1,0.7,0.1,0.0581
Image_1,15.0,both,0.2,0.3,0.1,0.0581
Image_1,15.0,both,0.2,0.5,0.1,0.0581
Image_1,15.0,both,0.2,0.7,0.1,0.0581
Image_1,15.0,both,0.3,0.3,0.1,0.0581
Image_1,15.0,both,0.3,0.5,0.1,0.0581
Image_1,15.0,both,0.3,0.7,0.1,0.0581
Image_1,14.0,none,0.0,0.0,16.66,1.8117
Image_1,14.0,brightness,0.1,0.3,16.14,1.7269
Image_1,14.0,brightness,0.1,0.5,16.14,1.7269
Image_1,14.0,brightness,0.1,0.7,16.14,1.7269
Image_1,14.0,brightness,0.2,0.3,15.32,1.5436
Image_1,14.0,brightness,0.2,0.5,15.32,1.5436
Image_1,14.0,brightness,0.2,0.7,15.32,1.5436
Image_1,14.0,brightness,0.3,0.3,14.52,1.379
Image_1,14.0,brightness,0.3,0.5,14.52,1.379
Image_1,14.0,brightness,0.3,0.7,14.52,1.379
Image_1,14.0,contrast,0.1,0.3,15.69,1.6251
Image_1,14.0,contrast,0.1,0.5,14.88,1.4724
Image_1,14.0,contrast,0.1,0.7,14.08,1.3243
Image_1,14.0,contrast,0.2,0.3,15.69,1.6251
Image_1,14.0,contrast,0.2,0.5,14.88,1.4724
Image_1,14.0,contrast,0.2,0.7,14.08,1.3243
Image_1,14.0,contrast,0.3,0.3,15.69,1.6251
Image_1,14.0,contrast,0.3,0.5,14.88,1.4724
Image_1,14.0,contrast,0.3,0.7,14.08,1.3243
Image_1,14.0,both,0.1,0.3,14.92,1.4774
Image_1,14.0,both,0.1,0.5,14.11,1.3264
Image_1,14.0,both,0.1,0.7,13.31,1.1784
Image_1,14.0,both,0.2,0.3,14.14,1.3279
Image_1,14.0,both,0.2,0.5,13.33,1.1793
Image_1,14.0,both,0.2,0.7,12.54,1.0333
Image_1,14.0,both,0.3,0.3,13.36,1.1822
Image_1,14.0,both,0.3,0.5,12.56,1.0347
Image_1,14.0,both,0.3,0.7,11.77,0.8937
Image_1,13.0,none,0.0,0.0,31.89,3.6728
Image_1,13.0,brightness,0.1,0.3,30.83,3.4359
Image_1,13.0,brightness,0.1,0.5,30.83,3.4359
Image_1,13.0,brightness,0.1,0.7,30.83,3.4359
Image_1,13.0,brightness,0.2,0.3,29.66,3.2037
Image_1,13.0,brightness,0.2,0.5,29.66,3.2037
Image_1,13.0,brightness,0.2,0.7,29.66,3.2037
Image_1,13.0,brightness,0.3,0.3,28.35,2.9037
Image_1,13.0,brightness,0.3,0.5,28.35,2.9037
Image_1,13.0,brightness,0.3,0.7,28.35,2.9037
Image_1,13.0,contrast,0.1,0.3,30.16,3.3085
Image_1,13.0,contrast,0.1,0.5,28.9,3.0482
Image_1,13.0,contrast,0.1,0.7,27.66,2.7904
Image_1,13.0,contrast,0.2,0.3,30.16,3.3085
Image_1,13.0,contrast,0.2,0.5,28.9,3.0482
Image_1,13.0,contrast,0.2,0.7,27.66,2.7904
Image_1,13.0,contrast,0.3,0.3,30.16,3.3085
Image_1,13.0,contrast,0.3,0.5,28.9,3.0482
Image_1,13.0,contrast,0.3,0.7,27.66,2.7904
Image_1,13.0,both,0.1,0.3,28.94,3.0486
Image_1,13.0,both,0.1,0.5,27.69,2.792
Image_1,13.0,both,0.1,0.7,26.45,2.5392
Image_1,13.0,both,0.2,0.3,27.72,2.7924
Image_1,13.0,both,0.2,0.5,26.47,2.5356
Image_1,13.0,both,0.2,0.7,25.24,2.2841
Image_1,13.0,both,0.3,0.3,26.49,2.5358
Image_1,13.0,both,0.3,0.5,25.26,2.2832
Image_1,13.0,both,0.3,0.7,24.04,2.0354
Image_1,12.0,none,0.0,0.0,45.7,5.5875
Image_1,12.0,brightness,0.1,0.3,44.4,5.258
Image_1,12.0,brightness,0.1,0.5,44.4,5.258
Image_1,12.0,brightness,0.1,0.7,44.4,5.258
Image_1,12.0,brightness,0.2,0.3,42.98,4.9273
Image_1,12.0,brightness,0.2,0.5,42.98,4.9273
Image_1,12.0,brightness,0.2,0.7,42.98,4.9273
Image_1,12.0,brightness,0.3,0.3,41.58,4.6019
Image_1,12.0,brightness,0.3,0.5,41.58,4.6019
Image_1,12.0,brightness,0.3,0.7,41.58,4.6019
Image_1,12.0,contrast,0.1,0.3,43.65,5.1063
Image_1,12.0,contrast,0.1,0.5,42.2,4.774
Image_1,12.0,contrast,0.1,0.7,40.81,4.4516
Image_1,12.0,contrast,0.2,0.3,43.65,5.1063
Image_1,12.0,contrast,0.2,0.5,42.2,4.774
Image_1,12.0,contrast,0.2,0.7,40.81,4.4516
Image_1,12.0,contrast,0.3,0.3,43.65,5.1063
Image_1,12.0,contrast,0.3,0.5,42.2,4.774
Image_1,12.0,contrast,0.3,0.7,40.81,4.4516
Image_1,12.0,both,0.1,0.3,42.25,4.7751
Image_1,12.0,both,0.1,0.5,40.82,4.4476
Image_1,12.0,both,0.1,0.7,39.44,4.1317
Image_1,12.0,both,0.2,0.3,40.85,4.4478
Image_1,12.0,both,0.2,0.5,39.45,4.1247
Image_1,12.0,both,0.2,0.7,38.08,3.8154
Image_1,12.0,both,0.3,0.3,39.47,4.1246
Image_1,12.0,both,0.3,0.5,38.08,3.8077
Image_1,12.0,both,0.3,0.7,36.73,3.5018
Image_1,11.0,none,0.0,0.0,58.08,7.5757
Image_1,11.0,brightness,0.1,0.3,56.83,7.2446
Image_1,11.0,brightness,0.1,0.5,56.83,7.2446
Image_1,11.0,brightness,0.1,0.7,56.83,7.2446
Image_1,11.0,brightness,0.2,0.3,55.44,6.8691
Image_1,11.0,brightness,0.2,0.5,55.44,6.8691
Image_1,11.0,brightness,0.2,0.7,55.44,6.8691
Image_1,11.0,brightness,0.3,0.3,54.06,6.4983
Image_1,11.0,brightness,0.3,0.5,54.06,6.4983
Image_1,11.0,brightness,0.3,0.7,54.06,6.4983
Image_1,11.0,contrast,0.1,0.3,56.05,7.0417
Image_1,11.0,contrast,0.1,0.5,54.68,6.6821
Image_1,11.0,contrast,0.1,0.7,53.35,6.3343
Image_1,11.0,contrast,0.2,0.3,56.05,7.0417
Image_1,11.0,contrast,0.2,0.5,54.68,6.6821
Image_1,11.0,contrast,0.2,0.7,53.35,6.3343
Image_1,11.0,contrast,0.3,0.3,56.05,7.0417
Image_1,11.0,contrast,0.3,0.5,54.68,6.6821
Image_1,11.0,contrast,0.3,0.7,53.35,6.3343
Image_1,11.0,both,0.1,0.3,54.7,6.6806
Image_1,11.0,both,0.1,0.5,53.35,6.3293
Image_1,11.0,both,0.1,0.7,52.04,5.9896
Image_1,11.0,both,0.2,0.3,53.36,6.3251
Image_1,11.0,both,0.2,0.5,52.03,5.9816
Image_1,11.0,both,0.2,0.7,50.75,5.651
Image_1,11.0,both,0.3,0.3,52.03,5.9755
Image_1,11.0,both,0.3,0.5,50.73,5.6414
Image_1,11.0,both,0.3,0.7,49.47,5.3183
Image_2,15.0,none,0.0,0.0,0.0,0.0
Image_2,15.0,brightness,0.1,0.3,0.12,0.0656
Image_2,15.0,brightness,0.1,0.5,0.12,0.0656
Image_2,15.0,brightness,0.1,0.7,0.12,0.0656
Image_2,15.0,brightness,0.2,0.3,0.12,0.0656
Image_2,15.0,brightness,0.2,0.5,0.12,0.0656
Image_2,15.0,brightness,0.2,0.7,0.12,0.0656
Image_2,15.0,brightness,0.3,0.3,0.12,0.0656
Image_2,15.0,brightness,0.3,0.5,0.12,0.0656
Image_2,15.0,brightness,0.3,0.7,0.12,0.0656
Image_2,15.0,contrast,0.1,0.3,0.12,0.0656
Image_2,15.0,contrast,0.1,0.5,0.12,0.0656
Image_2,15.0,contrast,0.1,0.7,0.12,0.0656
Image_2,15.0,contrast,0.2,0.3,0.12,0.0656
Image_2,15.0,contrast,0.2,0.5,0.12,0.0656
Image_2,15.0,contrast,0.2,0.7,0.12,0.0656
Image_2,15.0,contrast,0.3,0.3,0.12,0.0656
Image_2,15.0,contrast,0.3,0.5,0.12,0.0656
Image_2,15.0,contrast,0.3,0.7,0.12,0.0656
Image_2,15.0,both,0.1,0.3,0.12,0.0656
Image_2,15.0,both,0.1,0.5,0.12,0.0656
Image_2,15.0,both,0.1,0.7,0.12,0.0656
Image_2,15.0,both,0.2,0.3,0.12,0.0656
Image_2,15.0,both,0.2,0.5,0.12,0.0656
Image_2,15.0,both,0.2,0.7,0.12,0.0656
Image_2,15.0,both,0.3,0.3,0.12,0.0656
Image_2,15.0,both,0.3,0.5,0.12,0.0656
Image_2,15.0,both,0.3,0.7,0.12,0.0656
Image_2,14.0,none,0.0,0.0,16.64,1.8834
Image_2,14.0,brightness,0.1,0.3,16.14,1.7964
Image_2,14.0,brightness,0.1,0.5,16.14,1.7964
Image_2,14.0,brightness,0.1,0.7,16.14,1.7964
Image_2,14.0,brightness,0.2,0.3,15.29,1.6147
Image_2,14.0,brightness,0.2,0.5,15.29,1.6147
Image_2,14.0,brightness,0.2,0.7,15.29,1.6147
Image_2,14.0,brightness,0.3,0.3,14.47,1.4471
Image_2,14.0,brightness,0.3,0.5,14.47,1.4471
Image_2,14.0,brightness,0.3,0.7,14.47,1.4471
Image_2,14.0,contrast,0.1,0.3,15.54,1.6635
Image_2,14.0,contrast,0.1,0.5,14.63,1.4887
Image_2,14.0,contrast,0.1,0.7,13.72,1.3176
Image_2,14.0,contrast,0.2,0.3,15.54,1.6635
Image_2,14.0,contrast,0.2,0.5,14.63,1.4887
Image_2,14.0,contrast,0.2,0.7,13.72,1.3176
Image_2,14.0,contrast,0.3,0.3,15.54,1.6635
Image_2,14.0,contrast,0.3,0.5,14.63,1.4887
Image_2,14.0,contrast,0.3,0.7,13.72,1.3176
Image_2,14.0,both,0.1,0.3,14.77,1.5139
Image_2,14.0,both,0.1,0.5,13.84,1.3363
Image_2,14.0,both,0.1,0.7,12.93,1.1651
Image_2,14.0,both,0.2,0.3,13.97,1.3561
Image_2,14.0,both,0.2,0.5,13.05,1.1856
Image_2,14.0,both,0.2,0.7,12.14,1.0153
Image_2,14.0,both,0.3,0.3,13.17,1.2061
Image_2,14.0,both,0.3,0.5,12.27,1.0348
Image_2,14.0,both,0.3,0.7,11.35,0.8659
Image_2,13.0,none,0.0,0.0,31.85,3.8149
Image_2,13.0,brightness,0.1,0.3,30.78,3.5778
Image_2,13.0,brightness,0.1,0.5,30.78,3.5778
Image_2,13.0,brightness,0.1,0.7,30.78,3.5778
Image_2,13.0,brightness,0.2,0.3,29.61,3.3313
Image_2,13.0,brightness,0.2,0.5,29.61,3.3313
Image_2,13.0,brightness,0.2,0.7,29.61,3.3313
Image_2,13.0,brightness,0.3,0.3,28.28,3.0278
Image_2,13.0,brightness,0.3,0.5,28.28,3.0278
Image_2,13.0,brightness,0.3,0.7,28.28,3.0278
Image_2,13.0,contrast,0.1,0.3,29.89,3.3917
Image_2,13.0,contrast,0.1,0.5,28.44,3.0868
Image_2,13.0,contrast,0.1,0.7,27.01,2.786
Image_2,13.0,contrast,0.2,0.3,29.89,3.3917
Image_2,13.0,contrast,0.2,0.5,28.44,3.0868
Image_2,13.0,contrast,0.2,0.7,27.01,2.786
Image_2,13.0,contrast,0.3,0.3,29.89,3.3917
Image_2,13.0,contrast,0.3,0.5,28.44,3.0868
Image_2,13.0,contrast,0.3,0.7,27.01,2.786
Image_2,13.0,both,0.1,0.3,28.64,3.1216
Image_2,13.0,both,0.1,0.5,27.2,2.8211
Image_2,13.0,both,0.1,0.7,25.79,2.5284
Image_2,13.0,both,0.2,0.3,27.39,2.8554
Image_2,13.0,both,0.2,0.5,25.96,2.5578
Image_2,13.0,both,0.2,0.7,24.59,2.2711
Image_2,13.0,both,0.3,0.3,26.15,2.5909
Image_2,13.0,both,0.3,0.5,24.74,2.2982
Image_2,13.0,both,0.3,0.7,23.41,2.0234
Image_2,12.0,none,0.0,0.0,45.64,5.8075
Image_2,12.0,brightness,0.1,0.3,44.33,5.4758
Image_2,12.0,brightness,0.1,0.5,44.33,5.4758
Image_2,12.0,brightness,0.1,0.7,44.33,5.4758
Image_2,12.0,brightness,0.2,0.3,42.91,5.1325
Image_2,12.0,brightness,0.2,0.5,42.91,5.1325
Image_2,12.0,brightness,0.2,0.7,42.91,5.1325
Image_2,12.0,brightness,0.3,0.3,41.47,4.7945
Image_2,12.0,brightness,0.3,0.5,41.47,4.7945
Image_2,12.0,brightness,0.3,0.7,41.47,4.7945
Image_2,12.0,contrast,0.1,0.3,43.31,5.2485
Image_2,12.0,contrast,0.1,0.5,41.65,4.8605
Image_2,12.0,contrast,0.1,0.7,40.12,4.4991
Image_2,12.0,contrast,0.2,0.3,43.31,5.2485
Image_2,12.0,contrast,0.2,0.5,41.65,4.8605
Image_2,12.0,contrast,0.2,0.7,40.12,4.4991
Image_2,12.0,contrast,0.3,0.3,43.31,5.2485
Image_2,12.0,contrast,0.3,0.5,41.65,4.8605
Image_2,12.0,contrast,0.3,0.7,40.12,4.4991
Image_2,12.0,both,0.1,0.3,41.87,4.9051
Image_2,12.0,both,0.1,0.5,40.27,4.5293
Image_2,12.0,both,0.1,0.7,38.8,4.1857
Image_2,12.0,both,0.2,0.3,40.46,4.5678
Image_2,12.0,both,0.2,0.5,38.92,4.2073
Image_2,12.0,both,0.2,0.7,37.53,3.8826
Image_2,12.0,both,0.3,0.3,39.08,4.2403
Image_2,12.0,both,0.3,0.5,37.62,3.8994
Image_2,12.0,both,0.3,0.7,36.29,3.5877
Image_2,11.0,none,0.0,0.0,58.01,7.8746
Image_2,11.0,brightness,0.1,0.3,56.76,7.5296
Image_2,11.0,brightness,0.1,0.5,56.76,7.5296
Image_2,11.0,brightness,0.1,0.7,56.76,7.5296
Image_2,11.0,brightness,0.2,0.3,55.34,7.1374
Image_2,11.0,brightness,0.2,0.5,55.34,7.1374
Image_2,11.0,brightness,0.2,0.7,55.34,7.1374
Image_2,11.0,brightness,0.3,0.3,53.93,6.7542
Image_2,11.0,brightness,0.3,0.5,53.93,6.7542
Image_2,11.0,brightness,0.3,0.7,53.93,6.7542
Image_2,11.0,contrast,0.1,0.3,55.7,7.2476
Image_2,11.0,contrast,0.1,0.5,54.16,6.8394
Image_2,11.0,contrast,0.1,0.7,52.78,6.4733
Image_2,11.0,contrast,0.2,0.3,55.7,7.2476
Image_2,11.0,contrast,0.2,0.5,54.16,6.8394
Image_2,11.0,contrast,0.2,0.7,52.78,6.4733
Image_2,11.0,contrast,0.3,0.3,55.7,7.2476
Image_2,11.0,contrast,0.3,0.5,54.16,6.8394
Image_2,11.0,contrast,0.3,0.7,52.78,6.4733
Image_2,11.0,both,0.1,0.3,54.33,6.8753
Image_2,11.0,both,0.1,0.5,52.88,6.4937
Image_2,11.0,both,0.1,0.7,51.58,6.1519
Image_2,11.0,both,0.2,0.3,53.0,6.5199
Image_2,11.0,both,0.2,0.5,51.65,6.1648
Image_2,11.0,both,0.2,0.7,50.41,5.8403
Image_2,11.0,both,0.3,0.3,51.73,6.1826
Image_2,11.0,both,0.3,0.5,50.46,5.8498
Image_2,11.0,both,0.3,0.7,49.27,5.5369
Image_3,15.0,none,0.0,0.0,0.0,0.0
Image_3,15.0,brightness,0.1,0.3,0.07,0.0444
Image_3,15.0,brightness,0.1,0.5,0.07,0.0444
Image_3,15.0,brightness,0.1,0.7,0.07,0.0444
Image_3,15.0,brightness,0.2,0.3,0.07,0.0444
Image_3,15.0,brightness,0.2,0.5,0.07,0.0444
Image_3,15.0,brightness,0.2,0.7,0.07,0.0444
Image_3,15.0,brightness,0.3,0.3,0.07,0.0444
Image_3,15.0,brightness,0.3,0.5,0.07,0.0444
Image_3,15.0,brightness,0.3,0.7,0.07,0.0444
Image_3,15.0,contrast,0.1,0.3,0.07,0.0444
Image_3,15.0,contrast,0.1,0.5,0.07,0.0444
Image_3,15.0,contrast,0.1,0.7,0.07,0.0444
Image_3,15.0,contrast,0.2,0.3,0.07,0.0444
Image_3,15.0,contrast,0.2,0.5,0.07,0.0444
Image_3,15.0,contrast,0.2,0.7,0.07,0.0444
Image_3,15.0,contrast,0.3,0.3,0.07,0.0444
Image_3,15.0,contrast,0.3,0.5,0.07,0.0444
Image_3,15.0,contrast,0.3,0.7,0.07,0.0444
Image_3,15.0,both,0.1,0.3,0.07,0.0444
Image_3,15.0,both,0.1,0.5,0.07,0.0444
Image_3,15.0,both,0.1,0.7,0.07,0.0444
Image_3,15.0,both,0.2,0.3,0.07,0.0444
Image_3,15.0,both,0.2,0.5,0.07,0.0444
Image_3,15.0,both,0.2,0.7,0.07,0.0444
Image_3,15.0,both,0.3,0.3,0.07,0.0444
Image_3,15.0,both,0.3,0.5,0.07,0.0444
Image_3,15.0,both,0.3,0.7,0.07,0.0444
Image_3,14.0,none,0.0,0.0,16.86,1.9449
Image_3,14.0,brightness,0.1,0.3,16.39,1.8509
Image_3,14.0,brightness,0.1,0.5,16.39,1.8509
Image_3,14.0,brightness,0.1,0.7,16.39,1.8509
Image_3,14.0,brightness,0.2,0.3,15.58,1.6772
Image_3,14.0,brightness,0.2,0.5,15.58,1.6772
Image_3,14.0,brightness,0.2,0.7,15.58,1.6772
Image_3,14.0,brightness,0.3,0.3,14.78,1.5112
Image_3,14.0,brightness,0.3,0.5,14.78,1.5112
Image_3,14.0,brightness,0.3,0.7,14.78,1.5112
Image_3,14.0,contrast,0.1,0.3,15.69,1.7136
Image_3,14.0,contrast,0.1,0.5,14.77,1.5377
Image_3,14.0,contrast,0.1,0.7,13.86,1.3646
Image_3,14.0,contrast,0.2,0.3,15.69,1.7136
Image_3,14.0,contrast,0.2,0.5,14.77,1.5377
Image_3,14.0,contrast,0.2,0.7,13.86,1.3646
Image_3,14.0,contrast,0.3,0.3,15.69,1.7136
Image_3,14.0,contrast,0.3,0.5,14.77,1.5377
Image_3,14.0,contrast,0.3,0.7,13.86,1.3646
Image_3,14.0,both,0.1,0.3,14.98,1.5777
Image_3,14.0,both,0.1,0.5,14.05,1.3965
Image_3,14.0,both,0.1,0.7,13.12,1.2164
Image_3,14.0,both,0.2,0.3,14.22,1.418
Image_3,14.0,both,0.2,0.5,13.3,1.2427
Image_3,14.0,both,0.2,0.7,12.38,1.0689
Image_3,14.0,both,0.3,0.3,13.45,1.2654
Image_3,14.0,both,0.3,0.5,12.53,1.0943
Image_3,14.0,both,0.3,0.7,11.63,0.9276
Image_3,13.0,none,0.0,0.0,32.27,3.9407
