Image,Voltage,Strategy,Power(mW),Power_Saving(%),Distortion(%)
Image_19,11.0,none,453.03,56.38,5.5974
Image_19,11.0,brightness,490.02,52.82,4.8502
Image_19,11.0,contrast,486.38,53.17,4.9433
Image_19,11.0,both,523.98,49.55,4.1915
Image_19,10.0,none,341.7,67.1,7.1109
Image_19,10.0,brightness,373.32,64.06,6.3811
Image_19,10.0,contrast,369.98,64.38,6.4836
Image_19,10.0,both,401.29,61.36,5.7659
Image_19,9.0,none,244.41,76.47,8.6135
Image_19,9.0,brightness,266.71,74.32,8.0915
Image_19,9.0,contrast,264.19,74.56,8.1425
Image_19,9.0,both,286.14,72.45,7.6028
Image_20,15.0,none,1030.4,0.0,0.0
Image_20,15.0,brightness,1028.61,0.17,0.0826
Image_20,15.0,contrast,1028.61,0.17,0.0826
Image_20,15.0,both,1028.61,0.17,0.0826
Image_20,14.0,none,864.48,16.1,1.3588
Image_20,14.0,brightness,880.95,14.5,1.1104
Image_20,14.0,contrast,880.36,14.56,1.1262
Image_20,14.0,both,899.88,12.67,0.8398
Image_20,13.0,none,712.45,30.86,2.7506
Image_20,13.0,brightness,740.55,28.13,2.2863
Image_20,13.0,contrast,739.89,28.19,2.3089
Image_20,13.0,both,770.75,25.2,1.8047
Image_20,12.0,none,574.31,44.26,4.1835
Image_20,12.0,brightness,608.66,40.93,3.5446
Image_20,12.0,contrast,606.64,41.13,3.6003
Image_20,12.0,both,641.78,37.72,2.9626
Image_20,11.0,none,450.06,56.32,5.667
Image_20,11.0,brightness,483.37,53.09,4.9765
Image_20,11.0,contrast,481.54,53.27,5.0277
Image_20,11.0,both,515.51,49.97,4.3366
Image_20,10.0,none,339.7,67.03,7.2012
Image_20,10.0,brightness,368.22,64.26,6.5358
Image_20,10.0,contrast,366.4,64.44,6.5878
Image_20,10.0,both,394.7,61.69,5.9319
Image_20,9.0,none,243.23,76.39,8.7418
Image_20,9.0,brightness,263.34,74.44,8.2619
Image_20,9.0,contrast,261.93,74.58,8.2768
Image_20,9.0,both,281.75,72.66,7.7818
Image_21,15.0,none,924.17,0.0,0.0
Image_21,15.0,brightness,922.36,0.2,0.0831
Image_21,15.0,contrast,922.36,0.2,0.0831
Image_21,15.0,both,922.36,0.2,0.0831
Image_21,14.0,none,777.92,15.82,1.2188
Image_21,14.0,brightness,796.76,13.79,0.926
Image_21,14.0,contrast,792.48,14.25,1.0012
Image_21,14.0,both,814.34,11.88,0.6789
Image_21,13.0,none,643.77,30.34,2.4645
Image_21,13.0,brightness,675.24,26.94,1.9461
Image_21,13.0,contrast,669.52,27.55,2.0447
Image_21,13.0,both,704.2,23.8,1.474
Image_21,12.0,none,521.71,43.55,3.746
Image_21,12.0,brightness,560.05,39.4,3.0279
Image_21,12.0,contrast,552.35,40.23,3.1876
Image_21,12.0,both,591.98,35.94,2.4645
Image_21,11.0,none,411.73,55.45,5.0703
Image_21,11.0,brightness,449.01,51.42,4.2965
Image_21,11.0,contrast,441.73,52.2,4.4555
Image_21,11.0,both,480.22,48.04,3.6687
Image_21,10.0,none,313.85,66.04,6.4296
Image_21,10.0,brightness,345.72,62.59,5.6847
Image_21,10.0,contrast,339.44,63.27,5.8416
Image_21,10.0,both,371.64,59.79,5.0956
Image_21,9.0,none,228.06,75.32,7.769
Image_21,9.0,brightness,250.56,72.89,7.2396
Image_21,9.0,contrast,246.04,73.38,7.3332
Image_21,9.0,both,268.72,70.92,6.7695
Image_22,15.0,none,1275.13,0.0,0.0
Image_22,15.0,brightness,1273.88,0.1,0.055
Image_22,15.0,contrast,1273.88,0.1,0.055
Image_22,15.0,both,1273.88,0.1,0.055
Image_22,14.0,none,1063.89,16.57,1.7191
Image_22,14.0,brightness,1083.42,15.03,1.4348
Image_22,14.0,contrast,1089.3,14.57,1.3657
Image_22,14.0,both,1111.85,12.81,1.0562
Image_22,13.0,none,870.69,31.72,3.4815
Image_22,13.0,brightness,903.27,29.16,2.9872
Image_22,13.0,contrast,913.74,28.34,2.8264
Image_22,13.0,both,949.76,25.52,2.2779
Image_22,12.0,none,695.51,45.46,5.2976
Image_22,12.0,brightness,735.18,42.34,4.6037
Image_22,12.0,contrast,746.16,41.48,4.4354
Image_22,12.0,both,787.26,38.26,3.7379
Image_22,11.0,none,538.37,57.78,7.1792
Image_22,11.0,brightness,576.99,54.75,6.4329
Image_22,11.0,contrast,587.81,53.9,6.2325
Image_22,11.0,both,627.49,50.79,5.4726
Image_22,10.0,none,399.26,68.69,9.1424
Image_22,10.0,brightness,432.38,66.09,8.3918
Image_22,10.0,contrast,441.21,65.4,8.2151
Image_22,10.0,both,474.06,62.82,7.4905
Image_22,9.0,none,278.19,78.18,11.2113
Image_22,9.0,brightness,301.53,76.35,10.5961
Image_22,9.0,contrast,307.59,75.88,10.4424
Image_22,9.0,both,330.51,74.08,9.8496
Image_23,15.0,none,1510.31,0.0,0.0
Image_23,15.0,brightness,1509.21,0.07,0.0492
Image_23,15.0,contrast,1509.21,0.07,0.0492
Image_23,15.0,both,1509.21,0.07,0.0492
Image_23,14.0,none,1255.51,16.87,1.9773
Image_23,14.0,brightness,1274.3,15.63,1.717
Image_23,14.0,contrast,1286.46,14.82,1.5724
Image_23,14.0,both,1308.17,13.38,1.2864
Image_23,13.0,none,1022.74,32.28,4.0055
Image_23,13.0,brightness,1054.22,30.2,3.5401
Image_23,13.0,contrast,1074.02,28.89,3.2676
Image_23,13.0,both,1107.63,26.66,2.7766
Image_23,12.0,none,811.97,46.24,6.0982
Image_23,12.0,brightness,850.21,43.71,5.4629
Image_23,12.0,contrast,871.16,42.32,5.1453
Image_23,12.0,both,908.17,39.87,4.5406
Image_23,11.0,none,623.23,58.73,8.2658
Image_23,11.0,brightness,660.27,56.28,7.5747
Image_23,11.0,contrast,679.96,54.98,7.2328
Image_23,11.0,both,714.25,52.71,6.5998
Image_23,10.0,none,456.5,69.77,10.5333
Image_23,10.0,brightness,488.18,67.68,9.8486
Image_23,10.0,contrast,503.64,66.65,9.5416
Image_23,10.0,both,530.97,64.84,8.9568
Image_23,9.0,none,311.78,79.36,12.9337
Image_23,9.0,brightness,334.02,77.88,12.3656
Image_23,9.0,contrast,344.21,77.21,12.1192
Image_23,9.0,both,362.51,76.0,11.654
Image_24,15.0,none,1329.04,0.0,0.0
Image_24,15.0,brightness,1327.84,0.09,0.0555
Image_24,15.0,contrast,1327.84,0.09,0.0555
Image_24,15.0,both,1327.84,0.09,0.0555
Image_24,14.0,none,1107.81,16.65,1.6921
Image_24,14.0,brightness,1128.08,15.12,1.404
Image_24,14.0,contrast,1134.46,14.64,1.3501
Image_24,14.0,both,1157.72,12.89,1.0362
Image_24,13.0,none,905.54,31.87,3.4239
Image_24,13.0,brightness,938.91,29.35,2.9187
Image_24,13.0,contrast,950.62,28.47,2.7846
Image_24,13.0,both,987.25,25.72,2.2278
Image_24,12.0,none,722.21,45.66,5.208
Image_24,12.0,brightness,763.03,42.59,4.4977
Image_24,12.0,contrast,775.02,41.69,4.3712
Image_24,12.0,both,816.53,38.56,3.6656
Image_24,11.0,none,557.82,58.03,7.0466
Image_24,11.0,brightness,597.33,55.06,6.2938
Image_24,11.0,contrast,609.18,54.16,6.1298
Image_24,11.0,both,648.77,51.18,5.3766
Image_24,10.0,none,412.38,68.97,8.9534
Image_24,10.0,brightness,446.1,66.43,8.2327
Image_24,10.0,contrast,455.75,65.71,8.0705
Image_24,10.0,both,487.85,63.29,7.3838
Image_24,9.0,none,285.89,78.49,10.9173
Image_24,9.0,brightness,309.74,76.69,10.3653
Image_24,9.0,contrast,316.11,76.21,10.2115
Image_24,9.0,both,337.69,74.59,9.7048
Image_25,15.0,none,1109.59,0.0,0.0
Image_25,15.0,brightness,1107.68,0.17,0.0837
Image_25,15.0,contrast,1107.68,0.17,0.0837
Image_25,15.0,both,1107.68,0.17,0.0837
Image_25,14.0,none,929.01,16.27,1.5362
Image_25,14.0,brightness,944.99,14.83,1.2732
Image_25,14.0,contrast,948.78,14.49,1.2362
Image_25,14.0,both,967.64,12.79,0.9551
Image_25,13.0,none,763.66,31.18,3.1099
Image_25,13.0,brightness,790.56,28.75,2.6456
Image_25,13.0,contrast,797.42,28.13,2.5515
Image_25,13.0,both,827.2,25.45,2.056
Image_25,12.0,none,613.53,44.71,4.7317
Image_25,12.0,brightness,646.64,41.72,4.0891
Image_25,12.0,contrast,653.1,41.14,4.0041
Image_25,12.0,both,686.78,38.11,3.3738
Image_25,11.0,none,478.64,56.86,6.4083
Image_25,11.0,brightness,510.79,53.97,5.7159
Image_25,11.0,contrast,517.05,53.4,5.6091
Image_25,11.0,both,549.28,50.5,4.9286
Image_25,10.0,none,358.98,67.65,8.1554
Image_25,10.0,brightness,386.56,65.16,7.4778
Image_25,10.0,contrast,391.35,64.73,7.384
Image_25,10.0,both,418.0,62.33,6.7416
Image_25,9.0,none,254.54,77.06,9.9998
Image_25,9.0,brightness,273.95,75.31,9.4559
Image_25,9.0,contrast,277.13,75.02,9.3618
Image_25,9.0,both,295.67,73.35,8.8457
Image_26,15.0,none,1350.23,0.0,0.0
Image_26,15.0,brightness,1348.76,0.11,0.0644
Image_26,15.0,contrast,1348.76,0.11,0.0644
Image_26,15.0,both,1348.76,0.11,0.0644
Image_26,14.0,none,1125.08,16.67,1.8308
Image_26,14.0,brightness,1142.14,15.41,1.574
Image_26,14.0,contrast,1149.61,14.86,1.4846
Image_26,14.0,both,1169.65,13.37,1.1978
Image_26,13.0,none,919.24,31.92,3.7128
Image_26,13.0,brightness,948.05,29.79,3.2474
Image_26,13.0,contrast,960.53,28.86,3.0746
Image_26,13.0,both,992.25,26.51,2.5697
Image_26,12.0,none,732.7,45.74,5.6501
Image_26,12.0,brightness,767.93,43.13,5.009
Image_26,12.0,contrast,781.01,42.16,4.8162
Image_26,12.0,both,817.15,39.48,4.1764
Image_26,11.0,none,565.47,58.12,7.6632
Image_26,11.0,brightness,599.63,55.59,6.9653
Image_26,11.0,contrast,612.52,54.64,6.7438
Image_26,11.0,both,647.33,52.06,6.0491
Image_26,10.0,none,417.54,69.08,9.7629
Image_26,10.0,brightness,446.83,66.91,9.0746
Image_26,10.0,contrast,457.36,66.13,8.8678
Image_26,10.0,both,486.2,63.99,8.2059
Image_26,9.0,none,288.91,78.6,11.9737
Image_26,9.0,brightness,309.56,77.07,11.4174
Image_26,9.0,contrast,316.82,76.54,11.2371
Image_26,9.0,both,336.84,75.05,10.7015
Image_27,15.0,none,925.46,0.0,0.0
Image_27,15.0,brightness,924.02,0.16,0.063
Image_27,15.0,contrast,924.02,0.16,0.063
Image_27,15.0,both,924.02,0.16,0.063
Image_27,14.0,none,778.98,15.83,1.3457
Image_27,14.0,brightness,796.13,13.97,1.0333
Image_27,14.0,contrast,794.62,14.14,1.0858
Image_27,14.0,both,815.23,11.91,0.7679
Image_27,13.0,none,644.6,30.35,2.7087
Image_27,13.0,brightness,673.6,27.21,2.1517
Image_27,13.0,contrast,672.71,27.31,2.2082
Image_27,13.0,both,705.02,23.82,1.6232
Image_27,12.0,none,522.35,43.56,4.1178
Image_27,12.0,brightness,557.85,39.72,3.3625
Image_27,12.0,contrast,555.64,39.96,3.4552
Image_27,12.0,both,592.76,35.95,2.6934
Image_27,11.0,none,412.2,55.46,5.5593
Image_27,11.0,brightness,446.65,51.74,4.7649
Image_27,11.0,contrast,444.92,51.92,4.8338
Image_27,11.0,both,481.01,48.02,4.0114
Image_27,10.0,none,314.16,66.05,7.052
Image_27,10.0,brightness,343.77,62.85,6.3088
Image_27,10.0,contrast,342.16,63.03,6.3528
Image_27,10.0,both,372.32,59.77,5.5954
Image_27,9.0,none,228.24,75.34,8.5806
Image_27,9.0,brightness,249.14,73.08,8.0176
Image_27,9.0,contrast,247.96,73.21,8.017
Image_27,9.0,both,269.13,70.92,7.4465
Image_28,15.0,none,1534.55,0.0,0.0
Image_28,15.0,brightness,1533.78,0.05,0.0339
Image_28,15.0,contrast,1533.78,0.05,0.0339
Image_28,15.0,both,1533.78,0.05,0.0339
Image_28,14.0,none,1275.27,16.9,1.8833
Image_28,14.0,brightness,1295.46,15.58,1.6348
Image_28,14.0,contrast,1304.21,15.01,1.5284
Image_28,14.0,both,1325.57,13.62,1.2782
Image_28,13.0,none,1038.41,32.33,3.816
Image_28,13.0,brightness,1070.57,30.24,3.3715
Image_28,13.0,contrast,1084.82,29.31,3.1868
Image_28,13.0,both,1116.98,27.21,2.7581
Image_28,12.0,none,823.98,46.3,5.8012
Image_28,12.0,brightness,862.76,43.78,5.1838
Image_28,12.0,contrast,876.29,42.9,5.0083
Image_28,12.0,both,911.78,40.58,4.4648
Image_28,11.0,none,631.97,58.82,7.8521
Image_28,11.0,brightness,669.22,56.39,7.2072
Image_28,11.0,contrast,681.52,55.59,7.013
Image_28,11.0,both,714.27,53.45,6.4418
Image_28,10.0,none,462.4,69.87,9.9896
Image_28,10.0,brightness,493.85,67.82,9.3733
Image_28,10.0,contrast,503.15,67.21,9.1914
Image_28,10.0,both,529.38,65.5,8.6807
Image_28,9.0,none,315.24,79.46,12.2387
Image_28,9.0,brightness,337.28,78.02,11.7425
Image_28,9.0,contrast,343.08,77.64,11.5895
Image_28,9.0,both,360.75,76.49,11.2019
Image_29,15.0,none,1211.39,0.0,0.0
Image_29,15.0,brightness,1209.65,0.14,0.0712
Image_29,15.0,contrast,1209.65,0.14,0.0712
Image_29,15.0,both,1209.65,0.14,0.0712
Image_29,14.0,none,1011.96,16.46,1.6368
Image_29,14.0,brightness,1028.63,15.09,1.369
Image_29,14.0,contrast,1033.45,14.69,1.3282
Image_29,14.0,both,1052.64,13.11,1.0471
Image_29,13.0,none,829.47,31.53,3.3151
Image_29,13.0,brightness,857.79,29.19,2.8414
Image_29,13.0,contrast,864.73,28.62,2.7594
Image_29,13.0,both,893.56,26.24,2.2755
Image_29,12.0,none,663.95,45.19,5.0502
Image_29,12.0,brightness,698.05,42.38,4.3995
Image_29,12.0,contrast,703.85,41.9,4.3421
Image_29,12.0,both,735.81,39.26,3.7399
Image_29,11.0,none,515.37,57.46,6.8407
Image_29,11.0,brightness,548.26,54.74,6.1418
Image_29,11.0,contrast,553.14,54.34,6.0819
Image_29,11.0,both,583.48,51.83,5.4432
Image_29,10.0,none,383.75,68.32,8.7103
Image_29,10.0,brightness,411.71,66.01,8.0364
Image_29,10.0,contrast,415.04,65.74,7.9929
Image_29,10.0,both,439.96,63.68,7.3868
Image_29,9.0,none,269.08,77.79,10.6496
Image_29,9.0,brightness,288.63,76.17,10.1254
Image_29,9.0,contrast,290.6,76.01,10.078
Image_29,9.0,both,307.88,74.58,9.6096
Image_30,15.0,none,1222.02,0.0,0.0
Image_30,15.0,brightness,1220.69,0.11,0.0614
Image_30,15.0,contrast,1220.69,0.11,0.0614
Image_30,15.0,both,1220.69,0.11,0.0614
Image_30,14.0,none,1020.62,16.48,1.6233
Image_30,14.0,brightness,1039.35,14.95,1.354
Image_30,14.0,contrast,1044.4,14.54,1.2941
Image_30,14.0,both,1066.32,12.74,0.9916
Image_30,13.0,none,836.35,31.56,3.2866
Image_30,13.0,brightness,867.83,28.98,2.7979
Image_30,13.0,contrast,876.77,28.25,2.6742
Image_30,13.0,both,911.46,25.41,2.1405
Image_30,12.0,none,669.21,45.24,5.0008
Image_30,12.0,brightness,707.63,42.09,4.3279
Image_30,12.0,contrast,716.64,41.36,4.1982
Image_30,12.0,both,756.14,38.12,3.5237
Image_30,11.0,none,519.21,57.51,6.7718
Image_30,11.0,brightness,556.56,54.46,6.0425
Image_30,11.0,contrast,565.42,53.73,5.8899
Image_30,11.0,both,603.44,50.62,5.1617
Image_30,10.0,none,386.34,68.39,8.6165
Image_30,10.0,brightness,418.34,65.77,7.9021
Image_30,10.0,contrast,425.47,65.18,7.7605
Image_30,10.0,both,456.81,62.62,7.0748
Image_30,9.0,none,270.6,77.86,10.5448
Image_30,9.0,brightness,293.17,76.01,9.9725
Image_30,9.0,contrast,297.99,75.62,9.8459
Image_30,9.0,both,319.56,73.85,9.2994
Image_31,15.0,none,1203.43,0.0,0.0
Image_31,15.0,brightness,1201.47,0.16,0.0728
Image_31,15.0,contrast,1201.47,0.16,0.0728
Image_31,15.0,both,1201.47,0.16,0.0728
Image_31,14.0,none,1005.47,16.45,1.9491
Image_31,14.0,brightness,1018.26,15.39,1.6825
Image_31,14.0,contrast,1024.26,14.89,1.5976
Image_31,14.0,both,1039.02,13.66,1.3223
Image_31,13.0,none,824.33,31.5,3.9598
Image_31,13.0,brightness,846.02,29.7,3.4917
Image_31,13.0,contrast,854.86,28.96,3.3434
Image_31,13.0,both,877.11,27.12,2.8758
Image_31,12.0,none,660.0,45.16,6.0419
Image_31,12.0,brightness,686.48,42.96,5.3984
Image_31,12.0,contrast,694.63,42.28,5.2523
Image_31,12.0,both,719.22,40.24,4.6695
Image_31,11.0,none,512.5,57.41,8.2179
Image_31,11.0,brightness,537.9,55.3,7.5258
Image_31,11.0,contrast,545.34,54.68,7.3658
Image_31,11.0,both,568.48,52.76,6.7416
Image_31,10.0,none,381.81,68.27,10.5149
Image_31,10.0,brightness,403.44,66.48,9.8336
Image_31,10.0,contrast,409.01,66.01,9.6873
Image_31,10.0,both,427.69,64.46,9.0983
Image_31,9.0,none,267.95,77.73,12.9475
Image_31,9.0,brightness,283.05,76.48,12.4126
Image_31,9.0,contrast,286.62,76.18,12.273
Image_31,9.0,both,299.29,75.13,11.8117
Image_32,15.0,none,1324.8,0.0,0.0
Image_32,15.0,brightness,1323.61,0.09,0.0534
Image_32,15.0,contrast,1323.61,0.09,0.0534
Image_32,15.0,both,1323.61,0.09,0.0534
Image_32,14.0,none,1104.36,16.64,1.7324
Image_32,14.0,brightness,1123.26,15.21,1.4634
Image_32,14.0,contrast,1130.61,14.66,1.3814
Image_32,14.0,both,1153.02,12.97,1.0833
Image_32,13.0,none,902.8,31.85,3.5083
Image_32,13.0,brightness,935.04,29.42,3.0336
Image_32,13.0,contrast,947.17,28.5,2.858
Image_32,13.0,both,982.75,25.82,2.3317
Image_32,12.0,none,720.11,45.64,5.3393
Image_32,12.0,brightness,759.47,42.67,4.6723
Image_32,12.0,contrast,772.15,41.72,4.4855
Image_32,12.0,both,812.41,38.68,3.8217
Image_32,11.0,none,556.29,58.01,7.2348
Image_32,11.0,brightness,594.54,55.12,6.5169
Image_32,11.0,contrast,606.97,54.18,6.2977
Image_32,11.0,both,644.76,51.33,5.5939
Image_32,10.0,none,411.35,68.95,9.2153
Image_32,10.0,brightness,444.15,66.47,8.4946
Image_32,10.0,contrast,453.87,65.74,8.3066
Image_32,10.0,both,484.84,63.4,7.6411
Image_32,9.0,none,285.28,78.47,11.3064
Image_32,9.0,brightness,308.41,76.72,10.7116
Image_32,9.0,contrast,314.79,76.24,10.5578
Image_32,9.0,both,336.33,74.61,10.0103
Image_33,15.0,none,1295.15,0.0,0.0
Image_33,15.0,brightness,1293.89,0.1,0.0577
Image_33,15.0,contrast,1293.89,0.1,0.0577
Image_33,15.0,both,1293.89,0.1,0.0577
Image_33,14.0,none,1080.2,16.6,1.6824
Image_33,14.0,brightness,1099.72,15.09,1.4162
Image_33,14.0,contrast,1105.9,14.61,1.3406
Image_33,14.0,both,1128.45,12.87,1.0403
Image_33,13.0,none,883.63,31.77,3.4063
Image_33,13.0,brightness,916.0,29.27,2.9225
Image_33,13.0,contrast,927.11,28.42,2.7715
Image_33,13.0,both,962.77,25.66,2.2427
Image_33,12.0,none,705.42,45.53,5.1828
Image_33,12.0,brightness,744.97,42.48,4.5181
Image_33,12.0,contrast,756.38,41.6,4.3516
Image_33,12.0,both,796.9,38.47,3.6833
Image_33,11.0,none,545.59,57.87,7.0224
Image_33,11.0,brightness,584.0,54.91,6.2975
Image_33,11.0,contrast,595.2,54.04,6.108
Image_33,11.0,both,634.17,51.04,5.3862
Image_33,10.0,none,404.13,68.8,8.9358
Image_33,10.0,brightness,437.02,66.26,8.2266
Image_33,10.0,contrast,446.07,65.56,8.0495
Image_33,10.0,both,478.35,63.07,7.3655
Image_33,9.0,none,281.05,78.3,10.9219
Image_33,9.0,brightness,304.24,76.51,10.363
Image_33,9.0,contrast,310.4,76.03,10.2066
Image_33,9.0,both,332.79,74.3,9.6639
Image_34,15.0,none,1095.53,0.0,0.0
Image_34,15.0,brightness,1093.76,0.16,0.0781
Image_34,15.0,contrast,1093.76,0.16,0.0781
Image_34,15.0,both,1093.76,0.16,0.0781
Image_34,14.0,none,917.55,16.25,1.519
Image_34,14.0,brightness,935.26,14.63,1.2062
Image_34,14.0,contrast,937.43,14.43,1.2183
Image_34,14.0,both,958.07,12.55,0.8834
Image_34,13.0,none,754.57,31.12,3.0802
Image_34,13.0,brightness,784.22,28.42,2.5258
Image_34,13.0,contrast,788.41,28.03,2.5233
Image_34,13.0,both,820.55,25.1,1.9321
Image_34,12.0,none,606.57,44.63,4.7002
Image_34,12.0,brightness,642.78,41.33,3.9309
Image_34,12.0,contrast,645.95,41.04,3.9707
Image_34,12.0,both,681.81,37.76,3.2255
Image_34,11.0,none,473.57,56.77,6.3739
Image_34,11.0,brightness,508.68,53.57,5.5429
Image_34,11.0,contrast,511.4,53.32,5.581
Image_34,11.0,both,545.54,50.2,4.7797
Image_34,10.0,none,355.55,67.55,8.108
Image_34,10.0,brightness,385.58,64.8,7.3186
Image_34,10.0,contrast,387.19,64.66,7.3573
Image_34,10.0,both,415.26,62.1,6.6054
Image_34,9.0,none,252.53,76.95,9.8671
Image_34,9.0,brightness,273.66,75.02,9.2863
Image_34,9.0,contrast,274.43,74.95,9.2826
Image_34,9.0,both,293.85,73.18,8.7242
Image_35,15.0,none,1246.21,0.0,0.0
Image_35,15.0,brightness,1244.66,0.12,0.0665
Image_35,15.0,contrast,1244.66,0.12,0.0665
Image_35,15.0,both,1244.66,0.12,0.0665
Image_35,14.0,none,1040.32,16.52,1.7001
Image_35,14.0,brightness,1056.42,15.23,1.4136
Image_35,14.0,contrast,1057.19,15.17,1.4357
Image_35,14.0,both,1075.6,13.69,1.1311
Image_35,13.0,none,851.98,31.63,3.4556
Image_35,13.0,brightness,878.56,29.5,2.9621
Image_35,13.0,contrast,880.59,29.34,2.9674
Image_35,13.0,both,909.14,27.05,2.4408
Image_35,12.0,none,681.19,45.34,5.2665
Image_35,12.0,brightness,713.54,42.74,4.5732
Image_35,12.0,contrast,714.42,42.67,4.6246
Image_35,12.0,both,746.64,40.09,3.9567
Image_35,11.0,none,527.93,57.64,7.1618
Image_35,11.0,brightness,559.25,55.12,6.4106
Image_35,11.0,contrast,559.99,55.06,6.459
Image_35,11.0,both,590.87,52.59,5.7303
Image_35,10.0,none,392.22,68.53,9.1441
Image_35,10.0,brightness,418.96,66.38,8.3978
Image_35,10.0,contrast,419.16,66.37,8.4627
Image_35,10.0,both,444.69,64.32,7.7526
Image_35,9.0,none,274.06,78.01,11.171
Image_35,9.0,brightness,292.87,76.5,10.6232
Image_35,9.0,contrast,292.77,76.51,10.6466
Image_35,9.0,both,310.56,75.08,10.1003
Image_36,15.0,none,1386.64,0.0,0.0
Image_36,15.0,brightness,1385.4,0.09,0.0536
Image_36,15.0,contrast,1385.4,0.09,0.0536
Image_36,15.0,both,1385.4,0.09,0.0536
Image_36,14.0,none,1154.75,16.72,1.8946
Image_36,14.0,brightness,1173.69,15.36,1.6081
Image_36,14.0,contrast,1182.44,14.73,1.5079
Image_36,14.0,both,1203.93,13.18,1.2022
Image_36,13.0,none,942.78,32.01,3.8372
Image_36,13.0,brightness,973.72,29.78,3.3311
Image_36,13.0,contrast,989.2,28.66,3.1279
Image_36,13.0,both,1023.11,26.22,2.5849
Image_36,12.0,none,750.73,45.86,5.8432
Image_36,12.0,brightness,788.3,43.15,5.147
Image_36,12.0,contrast,804.99,41.95,4.9169
Image_36,12.0,both,843.63,39.16,4.223
Image_36,11.0,none,578.61,58.27,7.916
Image_36,11.0,brightness,615.04,55.65,7.1674
Image_36,11.0,contrast,631.51,54.46,6.899
Image_36,11.0,both,668.97,51.76,6.1356
Image_36,10.0,none,426.4,69.25,10.0813
Image_36,10.0,brightness,457.66,66.99,9.3468
Image_36,10.0,contrast,471.28,66.01,9.0885
Image_36,10.0,both,502.58,63.76,8.3665
Image_36,9.0,none,294.11,78.79,12.3532
Image_36,9.0,brightness,316.12,77.2,11.766
Image_36,9.0,contrast,325.66,76.51,11.5345
Image_36,9.0,both,347.36,74.95,10.9577
Image_37,15.0,none,1049.01,0.0,0.0
Image_37,15.0,brightness,1047.59,0.14,0.0563
Image_37,15.0,contrast,1047.59,0.14,0.0563
Image_37,15.0,both,1047.59,0.14,0.0563
Image_37,14.0,none,879.65,16.15,1.4705
Image_37,14.0,brightness,897.05,14.49,1.15
Image_37,14.0,contrast,898.53,14.35,1.1906
Image_37,14.0,both,918.81,12.41,0.8524
Image_37,13.0,none,724.49,30.94,2.9686
Image_37,13.0,brightness,753.65,28.16,2.4001
Image_37,13.0,contrast,756.67,27.87,2.4316
Image_37,13.0,both,789.0,24.79,1.831
Image_37,12.0,none,583.53,44.37,4.5118
Image_37,12.0,brightness,619.24,40.97,3.7194
Image_37,12.0,contrast,621.55,40.75,3.8072
Image_37,12.0,both,658.4,37.24,3.0271
Image_37,11.0,none,456.78,56.46,6.0814
Image_37,11.0,brightness,491.45,53.15,5.254
Image_37,11.0,contrast,493.95,52.91,5.3198
Image_37,11.0,both,529.68,49.51,4.4728
Image_37,10.0,none,344.23,67.19,7.7121
Image_37,10.0,brightness,373.97,64.35,6.9392
Image_37,10.0,contrast,375.81,64.17,6.9768
Image_37,10.0,both,405.79,61.32,6.2002
Image_37,9.0,none,245.89,76.56,9.3729
Image_37,9.0,brightness,266.85,74.56,8.8068
Image_37,9.0,contrast,268.1,74.44,8.7821
Image_37,9.0,both,289.19,72.43,8.2086
Image_38,15.0,none,1111.48,0.0,0.0
Image_38,15.0,brightness,1109.82,0.15,0.0666
Image_38,15.0,contrast,1109.82,0.15,0.0666
Image_38,15.0,both,1109.82,0.15,0.0666
Image_38,14.0,none,930.55,16.28,1.7618
Image_38,14.0,brightness,946.25,14.87,1.4873
Image_38,14.0,contrast,951.53,14.39,1.3941
Image_38,14.0,both,970.65,12.67,1.0855
Image_38,13.0,none,764.88,31.18,3.5636
Image_38,13.0,brightness,791.95,28.75,3.0552
Image_38,13.0,contrast,800.81,27.95,2.8862
Image_38,13.0,both,831.41,25.2,2.3425
Image_38,12.0,none,614.47,44.72,5.4286
Image_38,12.0,brightness,647.86,41.71,4.7285
Image_38,12.0,contrast,657.09,40.88,4.5366
Image_38,12.0,both,691.99,37.74,3.8384
Image_38,11.0,none,479.32,56.88,7.3629
Image_38,11.0,brightness,511.77,53.96,6.5853
Image_38,11.0,contrast,521.02,53.12,6.378
Image_38,11.0,both,554.66,50.1,5.6051
Image_38,10.0,none,359.44,67.66,9.3984
Image_38,10.0,brightness,387.38,65.15,8.6295
Image_38,10.0,contrast,394.86,64.47,8.4277
Image_38,10.0,both,422.65,61.97,7.6853
Image_38,9.0,none,254.81,77.07,11.5882
Image_38,9.0,brightness,274.51,75.3,10.954
Image_38,9.0,contrast,279.68,74.84,10.7613
Image_38,9.0,both,298.88,73.11,10.1562
Image_39,15.0,none,1337.73,0.0,0.0
Image_39,15.0,brightness,1336.35,0.1,0.0611
Image_39,15.0,contrast,1336.35,0.1,0.0611
Image_39,15.0,both,1336.35,0.1,0.0611
Image_39,14.0,none,1114.9,16.66,1.7763
Image_39,14.0,brightness,1131.8,15.39,1.5355
Image_39,14.0,contrast,1139.4,14.83,1.4386
Image_39,14.0,both,1159.22,13.34,1.1614
Image_39,13.0,none,911.16,31.89,3.6004
Image_39,13.0,brightness,939.8,29.75,3.1489
Image_39,13.0,contrast,951.92,28.84,2.9832
