Image,Voltage,Strategy,Power(mW),Power_Saving(%),Distortion(%)
Image_3,9.0,brightness,333.88,77.79,12.1424
Image_3,9.0,contrast,345.39,77.03,11.8767
Image_3,9.0,both,363.22,75.84,11.4166
Image_4,15.0,none,938.27,0.0,0.0
Image_4,15.0,brightness,935.81,0.26,0.0993
Image_4,15.0,contrast,935.81,0.26,0.0993
Image_4,15.0,both,935.81,0.26,0.0993
Image_4,14.0,none,789.41,15.86,1.3502
Image_4,14.0,brightness,803.75,14.34,1.0771
Image_4,14.0,contrast,804.21,14.29,1.1071
Image_4,14.0,both,821.24,12.47,0.8015
Image_4,13.0,none,652.89,30.42,2.7331
Image_4,13.0,brightness,677.12,27.83,2.2393
Image_4,13.0,contrast,678.43,27.69,2.2675
Image_4,13.0,both,705.27,24.83,1.7328
Image_4,12.0,none,528.69,43.65,4.1613
Image_4,12.0,brightness,558.55,40.47,3.4746
Image_4,12.0,contrast,558.7,40.45,3.5464
Image_4,12.0,both,589.24,37.2,2.8665
Image_4,11.0,none,416.82,55.58,5.6355
Image_4,11.0,brightness,445.75,52.49,4.8984
Image_4,11.0,contrast,446.04,52.46,4.9611
Image_4,11.0,both,475.46,49.33,4.2265
Image_4,10.0,none,317.28,66.18,7.1667
Image_4,10.0,brightness,342.13,63.54,6.4558
Image_4,10.0,contrast,341.99,63.55,6.5215
Image_4,10.0,both,366.46,60.94,5.8211
Image_4,9.0,none,230.07,75.48,8.7189
Image_4,9.0,brightness,247.58,73.61,8.1918
Image_4,9.0,contrast,247.35,73.64,8.2103
Image_4,9.0,both,264.44,71.82,7.6802
Image_5,15.0,none,1039.79,0.0,0.0
Image_5,15.0,brightness,1037.85,0.19,0.0689
Image_5,15.0,contrast,1037.85,0.19,0.0689
Image_5,15.0,both,1037.85,0.19,0.0689
Image_5,14.0,none,872.14,16.12,1.8028
Image_5,14.0,brightness,886.22,14.77,1.485
Image_5,14.0,contrast,887.29,14.67,1.4874
Image_5,14.0,both,904.32,13.03,1.1557
Image_5,13.0,none,718.53,30.9,3.6632
Image_5,13.0,brightness,742.9,28.55,3.1223
Image_5,13.0,contrast,744.5,28.4,3.0894
Image_5,13.0,both,771.21,25.83,2.5103
Image_5,12.0,none,578.97,44.32,5.5803
Image_5,12.0,brightness,608.92,41.44,4.8014
Image_5,12.0,contrast,609.37,41.4,4.8318
Image_5,12.0,both,639.57,38.49,4.0983
Image_5,11.0,none,453.45,56.39,7.5839
Image_5,11.0,brightness,482.44,53.6,6.7587
Image_5,11.0,contrast,482.88,53.56,6.7692
Image_5,11.0,both,511.92,50.77,5.9718
Image_5,10.0,none,341.99,67.11,9.6867
Image_5,10.0,brightness,366.83,64.72,8.8609
Image_5,10.0,contrast,366.81,64.72,8.8897
Image_5,10.0,both,390.87,62.41,8.1269
Image_5,9.0,none,244.57,76.48,11.9081
Image_5,9.0,brightness,262.06,74.8,11.2638
Image_5,9.0,contrast,261.87,74.81,11.2568
Image_5,9.0,both,278.62,73.2,10.6439
Image_6,15.0,none,1120.19,0.0,0.0
Image_6,15.0,brightness,1118.43,0.16,0.0727
Image_6,15.0,contrast,1118.43,0.16,0.0727
Image_6,15.0,both,1118.43,0.16,0.0727
Image_6,14.0,none,937.64,16.3,1.6242
Image_6,14.0,brightness,954.63,14.78,1.3307
Image_6,14.0,contrast,956.19,14.64,1.3246
Image_6,14.0,both,976.13,12.86,1.0048
Image_6,13.0,none,770.51,31.22,3.2916
Image_6,13.0,brightness,799.21,28.65,2.7871
Image_6,13.0,contrast,802.2,28.39,2.7362
Image_6,13.0,both,833.51,25.59,2.1815
Image_6,12.0,none,618.78,44.76,5.0088
Image_6,12.0,brightness,653.8,41.64,4.2863
Image_6,12.0,contrast,655.89,41.45,4.2817
Image_6,12.0,both,691.45,38.27,3.5809
Image_6,11.0,none,482.46,56.93,6.7943
Image_6,11.0,brightness,516.4,53.9,6.0257
Image_6,11.0,contrast,518.5,53.71,5.9979
Image_6,11.0,both,552.79,50.65,5.2378
Image_6,10.0,none,361.56,67.72,8.6606
Image_6,10.0,brightness,390.6,65.13,7.8884
Image_6,10.0,contrast,392.02,65.0,7.8835
Image_6,10.0,both,420.52,62.46,7.1514
Image_6,9.0,none,256.06,77.14,10.6147
Image_6,9.0,brightness,276.52,75.31,10.01
Image_6,9.0,contrast,277.36,75.24,9.9845
Image_6,9.0,both,297.28,73.46,9.3914
Image_7,15.0,none,1366.52,0.0,0.0
Image_7,15.0,brightness,1365.2,0.1,0.0597
Image_7,15.0,contrast,1365.2,0.1,0.0597
Image_7,15.0,both,1365.2,0.1,0.0597
Image_7,14.0,none,1138.36,16.7,1.7674
Image_7,14.0,brightness,1155.89,15.41,1.5156
Image_7,14.0,contrast,1161.28,15.02,1.4607
Image_7,14.0,both,1181.09,13.57,1.1874
Image_7,13.0,none,929.77,31.96,3.5809
Image_7,13.0,brightness,959.13,29.81,3.133
Image_7,13.0,contrast,967.17,29.22,3.031
Image_7,13.0,both,997.32,27.02,2.5652
Image_7,12.0,none,740.77,45.79,5.4483
Image_7,12.0,brightness,776.21,43.2,4.8286
Image_7,12.0,contrast,783.29,42.68,4.7446
Image_7,12.0,both,816.51,40.25,4.1708
Image_7,11.0,none,571.35,58.19,7.3852
Image_7,11.0,brightness,605.52,55.69,6.722
Image_7,11.0,contrast,611.65,55.24,6.6332
Image_7,11.0,both,642.78,52.96,6.0265
Image_7,10.0,none,421.5,69.16,9.4018
