x, y
0.021376761616662278, 41.86911432385054
0.013812141352426883, 31.528370753364168
0.03877908558672803, 55.11456221793461
0.02677049989092097, 46.8652076711993
0.10463840276265421, 73.12373107148397
0.06328061957795444, 64.29342678864008
0.37777946540795176, 85.6720515656995
0.17533140555535418, 80.32739793048917
0.07973785918249135, 68.50814439577805
0.04861852405196959, 59.67690179293844
0.03219213036204609, 51.27998192556843
0.017202434871566273, 37.0692889434957
0.13112874338444352, 76.92520658138328
0.2515364844303425, 83.44005784964558
1.8965206011183455, 90.24446443236639
0.6281987246225598, 87.92806968571637
3.1883328773940764, 90.60640004525774
1.0560953812313207, 89.37581554935446
9.011066214603636, 91.33027127104042
5.059438186059819, 90.8959451234981
15.91723057367579, 91.47504551619696
50.49107364144139, 91.33027127104042
27.885534570781143, 91.47504551619696
89.18817605562158, 91.47504551619696
142.7007041942044, 92.41607810971445
262.6782819883287, 93.64665919354502
